OBJECTID,PARK_NUMBER,PARK_NAME,SAP_EQUIPMENT,SAP_FUNCTIONAL_LOCATION,ITEM_TYPE,ITEM_DESCRIPTION,X,Y
757,D0276,SANDGATE FORESHORES PARK,100308666,B-RE-1875-N019,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,153.071751075,-27.3168029299999
758,D0518,GEORGE CLAYTON PARK,100308707,B-RE-1684-N003,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,153.183499893,-27.4461317939999
759,D0276,SANDGATE FORESHORES PARK,100293741,B-RE-1875-N018,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,153.085925005,-27.329641862
760,D0961,CADOGAN STREET PARK,100308718,B-RE-2407-N005,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,153.116802847,-27.4979011419999
761,D0477,MILTON PARK,200486806,B-RE-1375-N002,BUBBLER/DRINKING FOUNTAIN,BUBBLER/DRINKING FOUNTAIN,153.001057661,-27.4706634579999
762,D0480,PERRIN PARK,200560598,B-RE-1378-N003,BUBBLER/DRINKING FOUNTAIN,DISABLED ACCESS DRINKING FOUNTAIN,152.991999617,-27.4912579219999
763,D0464,ALBERT BISHOP PARK,200486947,B-RE-1386-N006,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,153.069634271,-27.408949304
764,D1582,BILL MCFARLANE PARK,100291920,B-RE-0453-N007,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,153.146862003,-27.475902924
765,D0554,ROSEBANK SQUARE,200475805,B-RE-1637-N002,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,153.042992091,-27.5555321689999
766,D0995,WYNNUM WADING POOL PARK,100294106,B-RE-2628-N014,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,153.175765059,-27.4410186219999
767,D1264,TUCKEROO PARK,200522913,B-RE-2060-N008,BUBBLER/DRINKING FOUNTAIN,BUBBLER & 2 TAPS,153.106146843,-27.350928989
768,D0536,HERBERT STREET PARK,200488121,B-RE-1422-N004,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAPS,153.177129204,-27.4701007479999
769,D0663,BOOKER PLACE PARK,200480362,B-RE-1671-N011,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,152.894138268,-27.56237111
770,D0249,MT COOT-THA RESERVE,200472623,B-RE-1901-N037,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN TAP & DOG BOWL,152.92901089,-27.4786754749999
771,D0249,MT COOT-THA RESERVE,100100183,B-RE-1901-N037,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN TAP & DOG BOWL,152.929239884,-27.4787461999999
772,D0249,MT COOT-THA RESERVE,100100193,B-RE-1901-N037,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN TAP & DOG BOWL,152.928806397,-27.4780488869999
773,D0388,PEGG'S PARK,200507518,B-RE-1454-N002,BUBBLER/DRINKING FOUNTAIN,BUBBLER & 2 TAPS,153.031521867,-27.5323892979999
774,D0995,WYNNUM WADING POOL PARK,100308694,B-RE-2628-N001,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,153.176679084,-27.4417318559999
775,D0643,CURLEW PARK,100101864,B-RE-1601-N004,BUBBLER/DRINKING FOUNTAIN,TAP COMBINATION,153.073144402,-27.3267923659999
776,D1264,TUCKEROO PARK,200501160,B-RE-2060-N004,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,153.105901491,-27.350959428
777,D0671,LECKMY STREET PARK,200485980,B-RE-1566-N002,BUBBLER/DRINKING FOUNTAIN,BUBBLER & 2 TAPS,152.927991275,-27.3988307399999
778,D0995,WYNNUM WADING POOL PARK,100308695,B-RE-2628-N003,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,153.177636405,-27.4411311549999
779,D0657,GEEBONG PARK,100310783,B-RE-1677-N005,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,153.041353692,-27.3695648799999
780,D0276,SANDGATE FORESHORES PARK,100291788,B-RE-1875-N004,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,153.06476407,-27.292585324
781,D0275,DECKER PARK,100308657,B-RE-1876-N004,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,153.064758241,-27.285042505
782,D0498,LANHAM PARK,200478523,B-RE-0017-N015,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,153.017550593,-27.424658216
783,D1269,MONTEREY CIRCUIT PARK,200486867,B-RE-2057-N002,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,153.144851995,-27.469065035
784,D1902,THOMAS McBRIDE PARK,200488294,B-RE-0596-N001,BUBBLER/DRINKING FOUNTAIN,BUBBLER & 2 TAPS,153.119922393,-27.4202353649999
785,D0517,BAYSIDE PARK,100308713,B-RE-1685-N001,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,153.186691567,-27.452295485
786,D2089,DREVESEN PARK,200527064,B-RE-0089-N005,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,153.185642747,-27.4467338179999
787,D1535,POWERHOUSE PARK,100291771,B-RE-0410-N001,BUBBLER/DRINKING FOUNTAIN,BUBBLER & 2 TAPS,153.053911565,-27.467100376
788,D1293,BARBOUR ROAD PARK,200516924,B-RE-2088-N003,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,153.019839016,-27.3229434469999
789,D0974,ROBERT HANLEY PARK,100118370,B-RE-2647-N002,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,153.078964875,-27.4855395929999
790,D0597,PRESTON ROAD PARK,100119003,B-RE-1530-N004,BUBBLER/DRINKING FOUNTAIN,BUBBLER 2 TAPS & DOG BOWL,153.117180226,-27.493066138
791,D0597,PRESTON ROAD PARK,200480540,B-RE-1530-N004,BUBBLER/DRINKING FOUNTAIN,BUBBLER 2 TAPS & DOG BOWL,153.117523103,-27.4932143039999
792,D0276,SANDGATE FORESHORES PARK,200471673,B-RE-1875-N023,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,153.084645907,-27.32371971
793,D0203,HICKEY PARK,200489011,B-RE-1948-N010,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,153.021593247,-27.4163043529999
